18.1.1.14. Egy lakás ára és átlagos négyzetméterára épülettípus szerint;;;;;;;;;;;;;;;;;;
Épülettípus;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Használt lakások ára, millió forint;;;;;;;;;;;;;;;;;;
Családi ház, sorház;11,1;10,1;9,1;10,2;9,6;9,1;9,1;9,6;10,3;10,6;11,4;12,5;14,2;14,8;18,7;20,7;22,3;28,1
Többlakásos;12,6;12,2;11,6;11,7;11,4;11,3;11,0;11,6;13,4;16,4;18,4;21,5;25,7;26,8;30,6;37,8;41,1;45,8
Lakótelep;7,9;8,4;7,9;7,4;7,4;7,7;7,7;8,2;9,6;10,7;11,8;14,5;18,2;18,6;21,3;26,6;28,4;32,4
Összesen;11,5;10,8;10,1;10,7;10,2;9,9;9,7;10,3;11,6;12,7;14,0;16,0;18,6;19,2;23,2;27,6;29,6;35,5
Új lakások ára, millió forint;;;;;;;;;;;;;;;;;;
Családi ház, sorház;17,6;18,0;18,3;17,7;16,9;16,6;16,4;18,4;19,0;21,7;24,4;32,1;36,8;44,3;54,2;71,3;75,7;85,0
Többlakásos;16,4;16,9;16,8;16,2;15,7;15,7;16,1;16,8;18,2;19,6;22,5;27,3;30,6;36,2;45,1;54,2;61,1;68,9
Lakótelep;..;..;..;..;..;..;..;18,7;19,8;17,8;19,9;24,6;25,0;26,8;42,3;54,9;48,6;52,7
Összesen;16,4;16,9;16,9;16,4;15,7;15,8;16,1;17,0;18,3;19,7;22,6;27,6;31,0;36,6;46,0;55,7;62,6;70,6
Használt lakások átlagos négyzetméterára, ezer forint;;;;;;;;;;;;;;;;;;
Családi ház, sorház;129;111;105;115;106;101;96;100;107;109;118;128;144;147;179;201;218;269
Többlakásos;222;218;210;206;203;198;190;201;233;285;322;379;450;474;536;667;725;805
Lakótelep;153;163;152;144;142;148;148;157;186;209;230;282;357;362;412;518;550;624
Összesen;178;161;154;160;154;150;145;154;175;191;212;241;276;282;339;411;440;531
Új lakások átlagos négyzetméterára, ezer forint;;;;;;;;;;;;;;;;;;
Családi ház, sorház;232;236;236;228;221;211;197;221;228;241;279;324;377;412;486;618;685;747
Többlakásos;292;306;296;289;279;285;293;299;327;331;376;445;518;633;748;941;1045;1 219
Lakótelep;..;..;..;..;..;..;..;305;350;347;317;347;409;420;571;713;817;944
Összesen;283;299;290;282;272;277;283;294;322;325;366;433;505;615;719;910;1 004;1 167
